Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.315	ENB PHY Txed	31	5	0	2	0	0	SIB1
0.32	ENB PHY Txed	32	0	0	2	0	0	MIB
0.325	ENB PHY Txed	32	5	0	2	0	0	SIB1
0.33	ENB PHY Txed	33	0	0	2	0	0	MIB
0.335	ENB PHY Txed	33	5	0	2	0	0	SIB1
0.34	ENB PHY Txed	34	0	0	2	0	0	MIB
0.345	ENB PHY Txed	34	5	0	2	0	0	SIB1
0.35	ENB PHY Txed	35	0	0	2	0	0	MIB
0.355	ENB PHY Txed	35	5	0	2	0	0	SIB1
0.36	ENB PHY Txed	36	0	0	2	0	0	MIB
0.365	ENB PHY Txed	36	5	0	2	0	0	SIB1
0.37	ENB PHY Txed	37	0	0	2	0	0	MIB
0.375	ENB PHY Txed	37	5	0	2	0	0	SIB1
0.38	ENB PHY Txed	38	0	0	2	0	0	MIB
0.385	ENB PHY Txed	38	5	0	2	0	0	SIB1
0.39	ENB PHY Txed	39	0	0	2	0	0	MIB
0.395	ENB PHY Txed	39	5	0	2	0	0	SIB1
0.4	ENB PHY Txed	40	0	0	2	0	0	MIB
0.4015	ENB PHY Txed	40	1	1	2	0	0	DL_DCI
0.4025	ENB PHY Txed	40	2	1	2	0	0	DL_DCI
0.403	ENB PHY Txed	40	3	0	2	0	0	DL_DCI
0.403	ENB PHY Txed	40	3	0	2	0	0	UL_UCI
0.4035	ENB PHY Txed	40	3	1	2	0	0	DL_DCI
0.404	ENB PHY Txed	40	4	0	2	0	0	DL_DCI
0.405	ENB PHY Txed	40	5	0	2	0	0	DL_DCI
0.405	ENB PHY Txed	40	5	0	2	0	0	SIB1
0.4055	ENB PHY Txed	40	5	1	2	0	0	DL_DCI
